product,ingred_row,ingred_name,function_ingredient_id,ingred_index
13087,1,플루란,,15115
13087,2,스피루리나,,3585
13087,3,글리세린,,792
13087,4,합성착향료(블루베리향),,15117
13087,5,프로폴리스추출물,,11798
13087,6,녹차추출물,,9372
13087,7,곡류전분(옥수수전분),,15093
13087,8,세이지,,2933
13087,9,폴리옥시에틸렌소르비탄지방산에스테르,,15110
13087,10,비타민B2,,6952
13087,11,수크랄로스,,14753
13087,12,비타민B6염산염,,7062
13087,13,아세설팜칼륨,,14796
13087,14,비타민B12,,7135
13088,1,플루란,,15115
13088,2,스피루리나,,3585
13088,3,글리세린,,792
13088,4,합성착향료(닭고기향),,15116
13088,5,프로폴리스추출물,,11798
13088,6,녹차추출물,,9372
13088,7,곡류전분(옥수수전분),,15093
13088,8,세이지,,2933
13088,9,폴리옥시에틸렌소르비탄지방산에스테르,,15110
13088,10,비타민B2,,6952
13088,11,수크랄로스,,14753
13088,12,비타민B6염산염,,7062
13088,13,아세설팜칼륨,,14796
13088,14,비타민B12,,7135
12841,1,플루란,,15115
12841,2,변성전분,,2760
12841,3,글리세린,,792
12841,4,소고기향분말,,15104
12841,5,프로바이오틱스,,524
12841,6,프로필렌글리콜,,7394
12841,7,카라기난,,7286
12841,8,비타민E,,6680
12841,9,비타민D3,,6657
12841,10,치자황색소,,7764
12842,1,플루란,,15115
12842,2,초록입홍합추출오일,,9189
12842,3,변성전분,,2760
12842,4,D-소르비톨,,7635
12842,5,글리세린,,792
12842,6,소고기향분말,,15104
12842,7,소고기향,,9660
12842,8,L-알기닌,,6423
12842,9,프로필렌글리콜,,7394
12842,10,폴리옥시에틸렌소르비탄지방산에스테르,,15110
12842,11,비타민D3,,6657
12842,12,덱스트린,,9283
12842,13,말토오스,,15120
12842,14,글리세린지방산에스테르,,7369
12842,15,레시틴,,7325
12842,16,비타민E,,6680
12843,1,플루란,,15115
12843,2,변성전분,,2760
12843,3,글리세린,,792
12843,4,소고기향분말,,15104
12843,5,프로바이오틱스,,524
12843,6,프로필렌글리콜,,7394
12843,7,카라기난,,7286
12843,8,비타민E,,6680
12843,9,비타민D3,,6657
12843,10,치자황색소,,7764
12844,1,플루란,,15115
12844,2,변성전분,,2760
12844,3,글리세린,,792
12844,4,비타민C,,6785
12844,5,소고기향분말,,15104
12844,6,비타민E,,6680
12844,7,프로필렌글리콜,,7394
12844,8,글루콘산아연,,1497
12844,9,L-알기닌,,6423
12844,10,프로비타민A,,15112
12844,11,글루콘산칼슘,,7427
12844,12,비타민B12,,7135
12844,13,글루콘산마그네슘,,15094
12844,14,비타민B6,,7044
12844,15,비타민B1,,6876
12844,16,비타민D3,,6657
12845,1,플루란,,15115
12845,2,변성전분,,2760
12845,3,소고기향분말,,15104
12845,4,프로테아제(식물성),,15030
12845,5,유카추출물,,9406
12845,6,D-소비톨,,13453
12845,7,비타민C,,6785
12845,8,비타민B12,,7135
12845,9,글리세린,,792
12845,10,석류농축분말,,15103
12845,11,블루베리농축분말,,9498
12845,12,클로렐라,,3637
12845,13,비타민E,,6680
12845,14,프로필렌글리콜,,7394
12845,15,폴리옥시에틸렌소르비탄지방산에스테르,,15110
12845,16,정향,,8101
12845,17,계피,,8026
12845,18,프로바이오틱스,,524
12846,1,쌀,,1838
12846,2,돔연육,,15096
12846,3,타피오카전분,,2790
12846,4,젤라틴,,7280
12846,5,식물성글리세린,,796
12846,6,퀴노아,,3036
12846,7,프락토올리고당(FOS),,8895
12846,8,난단백,,11063
12846,9,천일염,,1199
12846,10,"복합효모추출물(발효밀단백질, 효모추출물, 덱스트린)",,15099
12846,11,CMC-Na,,7312
12846,12,바실러스코아귤런스,,8448
12846,13,"프로바이오틱스(락토바실러스 플런타럼, 락토바실러스 카페이, 락토바실러스 람노서스 등)",,15111
12846,14,강황,,7999
12846,15,에리스리톨,,7720
12846,16,프로폴리스추출물,,11798
12846,17,녹차추출분말,,13187
12846,18,"비타민미네랄혼합제제(비타민B1, B2, B6 등)",,15101
12846,19,코치닐,,15109
12846,20,적양배추,,3322
12846,21,치자황,,15108
12846,22,딸기향,,7845
12846,23,요구르트향,,7887
12846,24,솔빈산칼륨,,7461
12847,1,쌀,,1838
12847,2,돔연육,,15096
12847,3,타피오카전분,,2790
12847,4,젤라틴,,7280
12847,5,식물성글리세린,,796
12847,6,퀴노아,,3036
12847,7,프락토올리고당(FOS),,8895
12847,8,난단백,,11063
12847,9,천일염,,1199
12847,10,"복합효모추출물(발효밀단백질, 효모추출물, 덱스트린)",,15099
12847,11,CMC-Na,,7312
12847,12,바실러스코아귤런스,,8448
12847,13,"프로바이오틱스(락토바실러스 플런타럼, 락토바실러스 카페이, 락토바실러스 람노서스 등)",,15111
12847,14,강황,,7999
12847,15,에리스리톨,,7720
12847,16,프로폴리스추출물,,11798
12847,17,녹차추출분말,,13187
12847,18,동결건조 초록입홍합,,15097
12847,19,보스웰리아추출분말,,15098
12847,20,"비타민미네랄혼합제제(비타민B1, B2, B6 등)",,15101
12847,21,코치닐,,15109
12847,22,적양배추,,3322
12847,23,치자황,,15108
12847,24,딸기향,,7845
12847,25,요구르트향,,7887
12847,26,솔빈산칼륨,,7461
12861,1,쌀,,1838
12861,2,돔연육,,15096
12861,3,타피오카전분,,2790
12861,4,젤라틴,,7280
12861,5,식물성글리세린,,796
12861,6,퀴노아,,3036
12861,7,프락토올리고당(FOS),,8895
12861,8,난단백,,11063
12861,9,천일염,,1199
12861,10,"복합효모추출물(발효밀단백질, 효모추출물, 덱스트린)",,15099
12861,11,CMC-Na,,7312
12861,12,바실러스코아귤런스,,8448
12861,13,"프로바이오틱스(락토바실러스 플런타럼, 락토바실러스 카페이, 락토바실러스 람노서스 등)",,15111
12861,14,강황,,7999
12861,15,에리스리톨,,7720
12861,16,프로폴리스추출물,,11798
12861,17,녹차추출물,,9372
12861,18,감초분말,,15091
12861,19,생선어유분말(오메가3),,15102
12861,20,"비타민미네랄혼합제제(비타민B1, B2, B6 등)",,15101
12861,21,코치닐,,15109
12861,22,적양배추,,3322
12861,23,치자황,,15108
12861,24,딸기향,,7845
12861,25,요구르트향,,7887
12861,26,솔빈산칼륨,,7461
12862,1,쌀,,1838
12862,2,돔연육,,15096
12862,3,타피오카전분,,2790
12862,4,감자전분,,2766
12862,5,젤라틴,,7280
12862,6,프락토올리고당(FOS),,8895
12862,7,식물성글리세린,,796
12862,8,퀴노아,,3036
12862,9,난단백,,11063
12862,10,천일염,,1199
12862,11,비프시즈닝,,9654
12862,12,강황,,7999
12862,13,"복합효모추출물(발효밀단백질, 효모추출물, 덱스트린)",,15099
12862,14,CMC-Na,,7312
12862,15,바실러스코아귤런스,,8448
12862,16,"프로바이오틱스(락토바실러스 플런타럼, 락토바실러스 카페이, 락토바실러스 람노서스 등)",,15111
12862,17,에리스리톨,,7720
12862,18,프로폴리스추출물,,11798
12862,19,녹차추출물,,9372
12862,20,동결건조 초록입홍합,,15097
12862,21,보스웰리아추출분말,,15098
12862,22,감초분말,,15091
12862,23,생선어유분말(오메가3),,15102
12862,24,"비타민미네랄혼합제제(비타민B1, B2, B6 등)",,15101
12862,25,코치닐,,15109
12862,26,적양배추,,3322
12862,27,치자황,,15108
12862,28,치자청,,15107
12862,29,홍화향,,15119
12862,30,딸기향,,7845
12862,31,요구르트향,,7887
12862,32,솔빈산칼륨,,7461
13099,1,정제수,,824
13099,2,실꼬리돔,,5716
13099,3,연어,,5287
13099,4,타피오카전분,,2790
13099,5,닭기름,,911
13099,6,다시마추출액,,15095
13099,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
13099,8,프락토올리고당,,8893
13099,9,옵티마이저,,15105
13099,10,젖산칼슘,,7472
13099,11,우뭇가사리(한천),,15106
13099,12,치커리추출물,,9468
13099,13,프리미엄생유산균 19종,,15114
13099,14,MEG-3,,15089
13099,15,DL-메치오닌,,6371
13099,16,크랜베리,,3880
13099,17,L-카르니틴,,7153
13099,18,알긴산나트륨,,7310
13099,19,타우린,,6429
13099,20,키토산,,8862
13099,21,L-라이신,,6390
13099,22,초유단백분말,,6265
13099,23,후코이단,,9126
13099,24,프로비타민A(베타카로틴),,15113
13100,1,정제수,,824
13100,2,실꼬리돔,,5716
13100,3,가다랑어(참치),,15090
13100,4,타피오카전분,,2790
13100,5,닭기름,,911
13100,6,다시마추출액,,15095
13100,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
13100,8,프락토올리고당,,8893
13100,9,옵티마이저,,15105
13100,10,젖산칼슘,,7472
13100,11,우뭇가사리(한천),,15106
13100,12,치커리추출물,,9468
13100,13,프리미엄생유산균 19종,,15114
13100,14,MEG-3,,15089
13100,15,DL-메치오닌,,6371
13100,16,크랜베리,,3880
13100,17,L-카르니틴,,7153
13100,18,알긴산나트륨,,7310
13100,19,타우린,,6429
13100,20,키토산,,8862
13100,21,L-라이신,,6390
13100,22,초유단백분말,,6265
13100,23,후코이단,,9126
13100,24,프로비타민A(베타카로틴),,15113
13101,1,정제수,,824
13101,2,실꼬리돔,,5716
13101,3,연어,,5287
13101,4,타피오카전분,,2790
13101,5,닭기름,,911
13101,6,다시마추출액,,15095
13101,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
13101,8,프락토올리고당,,8893
13101,9,옵티마이저,,15105
13101,10,젖산칼슘,,7472
13101,11,우뭇가사리(한천),,15106
13101,12,치커리추출물,,9468
13101,13,프리미엄생유산균 19종,,15114
13101,14,MEG-3,,15089
13101,15,DL-메치오닌,,6371
13101,16,글리신,,6434
13101,17,감태,,15092
13101,18,알긴산나트륨,,7310
13101,19,타우린,,6429
13101,20,키토산,,8862
13101,21,L-라이신,,6390
13101,22,초유단백분말,,6265
13101,23,L-트립토판,,6416
13101,24,프로비타민A(베타카로틴),,15113
13102,1,정제수,,824
13102,2,실꼬리돔,,5716
13102,3,가다랑어(참치),,15090
13102,4,타피오카전분,,2790
13102,5,닭기름,,911
13102,6,다시마추출액,,15095
13102,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
13102,8,프락토올리고당,,8893
13102,9,옵티마이저,,15105
13102,10,젖산칼슘,,7472
13102,11,우뭇가사리(한천),,15106
13102,12,치커리추출물,,9468
13102,13,프리미엄생유산균 19종,,15114
13102,14,MEG-3,,15089
13102,15,DL-메치오닌,,6371
13102,16,글리신,,6434
13102,17,감태,,15092
13102,18,알긴산나트륨,,7310
13102,19,타우린,,6429
13102,20,키토산,,8862
13102,21,L-라이신,,6390
13102,22,초유단백분말,,6265
13102,23,L-트립토판,,6416
13102,24,프로비타민A(베타카로틴),,15113
13103,1,정제수,,824
13103,2,실꼬리돔,,5716
13103,3,연어,,5287
13103,4,타피오카전분,,2790
13103,5,닭기름,,911
13103,6,다시마추출액,,15095
13103,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
13103,8,프락토올리고당,,8893
13103,9,옵티마이저,,15105
13103,10,젖산칼슘,,7472
13103,11,우뭇가사리(한천),,15106
13103,12,치커리추출물,,9468
13103,13,프리미엄생유산균 19종,,15114
13103,14,MEG-3,,15089
13103,15,DL-메치오닌,,6371
13103,16,스피루리나,,3585
13103,17,알긴산나트륨,,7310
13103,18,타우린,,6429
13103,19,키토산,,8862
13103,20,L-라이신,,6390
13103,21,초유단백분말,,6265
13103,22,비타민C(StayC),,15100
13103,23,프로비타민A(베타카로틴),,15113
13103,24,치자황색소,,7764
13103,25,치자청색소,,7784
12878,1,정제수,,824
12878,2,실꼬리돔,,5716
12878,3,가다랑어(참치),,15090
12878,4,타피오카전분,,2790
12878,5,닭기름,,911
12878,6,다시마추출액,,15095
12878,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
12878,8,프락토올리고당,,8893
12878,9,옵티마이저,,15105
12878,10,젖산칼슘,,7472
12878,11,우뭇가사리(한천),,15106
12878,12,치커리추출물,,9468
12878,13,프리미엄생유산균 19종,,15114
12878,14,MEG-3,,15089
12878,15,DL-메치오닌,,6371
12878,16,스피루리나,,3585
12878,17,알긴산나트륨,,7310
12878,18,타우린,,6429
12878,19,키토산,,8862
12878,20,L-라이신,,6390
12878,21,초유단백분말,,6265
12878,22,비타민C(StayC),,15100
12878,23,프로비타민A(베타카로틴),,15113
12878,24,치자황색소,,7764
12878,25,치자청색소,,7784
12880,1,정제수,,824
12880,2,실꼬리돔,,5716
12880,3,연어,,5287
12880,4,타피오카전분,,2790
12880,5,닭기름,,911
12880,6,다시마추출액,,15095
12880,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
12880,8,프락토올리고당,,8893
12880,9,옵티마이저,,15105
12880,10,젖산칼슘,,7472
12880,11,우뭇가사리(한천),,15106
12880,12,치커리추출물,,9468
12880,13,프리미엄생유산균 19종,,15114
12880,14,MEG-3,,15089
12880,15,DL-메치오닌,,6371
12880,16,초록입홍합,,9178
12880,17,MSM,,8998
12880,18,알긴산나트륨,,7310
12880,19,타우린,,6429
12880,20,키토산,,8862
12880,21,L-라이신,,6390
12880,22,초유단백분말,,6265
12880,23,프로비타민A(베타카로틴),,15113
12880,24,치자황색소,,7764
12880,25,치자청색소,,7784
12906,1,정제수,,824
12906,2,실꼬리돔,,5716
12906,3,가다랑어(참치),,15090
12906,4,타피오카전분,,2790
12906,5,닭기름,,911
12906,6,다시마추출액,,15095
12906,7,"헤마콤플렉스(생선콜라겐, 해조칼슘, 감태추출분말(씨놀), 아마씨추출분말, 헴철, 비타민E 혼합제제, 비타민B12 혼합제제)",,15118
12906,8,프락토올리고당,,8893
12906,9,옵티마이저,,15105
12906,10,젖산칼슘,,7472
12906,11,우뭇가사리(한천),,15106
12906,12,치커리추출물,,9468
12906,13,프리미엄생유산균 19종,,15114
12906,14,MEG-3,,15089
12906,15,DL-메치오닌,,6371
12906,16,초록입홍합,,9178
12906,17,MSM,,8998
12906,18,알긴산나트륨,,7310
12906,19,타우린,,6429
12906,20,키토산,,8862
12906,21,L-라이신,,6390
12906,22,초유단백분말,,6265
12906,23,프로비타민A(베타카로틴),,15113
12906,24,치자황색소,,7764
12906,25,치자청색소,,7784
